meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1141,7953,81,55,2023-03-05T15:03:46.875000+00:00,15
1141,7953,55,81,2023-03-05T15:03:46.906000+00:00,15
1141,7953,55,20,2023-03-05T15:03:46.906000+00:00,14
1141,7953,55,2,2023-03-05T15:03:46.906000+00:00,13
1141,7953,55,22,2023-03-05T15:03:46.906000+00:00,12
1141,7953,55,24,2023-03-05T15:03:46.906000+00:00,11
1141,7953,55,23,2023-03-05T15:03:46.906000+00:00,10
1141,7953,55,77,2023-03-05T15:03:46.906000+00:00,9
1141,7953,55,27,2023-03-05T15:03:46.906000+00:00,8
1141,7953,55,4,2023-03-05T15:03:46.906000+00:00,7
1141,7953,55,31,2023-03-05T15:03:46.906000+00:00,6
1141,7953,55,18,2023-03-05T15:03:46.906000+00:00,5
1141,7953,55,44,2023-03-05T15:03:46.906000+00:00,4
1141,7953,14,81,2023-03-05T15:03:47.219000+00:00,16
1141,7953,14,20,2023-03-05T15:03:47.219000+00:00,15
1141,7953,14,2,2023-03-05T15:03:47.219000+00:00,14
1141,7953,14,22,2023-03-05T15:03:47.219000+00:00,13
1141,7953,14,24,2023-03-05T15:03:47.219000+00:00,12
1141,7953,14,23,2023-03-05T15:03:47.219000+00:00,11
1141,7953,14,77,2023-03-05T15:03:47.219000+00:00,10
1141,7953,14,27,2023-03-05T15:03:47.219000+00:00,9
1141,7953,14,4,2023-03-05T15:03:47.219000+00:00,8
1141,7953,14,31,2023-03-05T15:03:47.219000+00:00,7
1141,7953,14,18,2023-03-05T15:03:47.219000+00:00,6
1141,7953,14,44,2023-03-05T15:03:47.219000+00:00,5
1141,7953,10,21,2023-03-05T15:03:47.312000+00:00,19
1141,7953,10,63,2023-03-05T15:03:47.312000+00:00,18
1141,7953,21,63,2023-03-05T15:03:47.328000+00:00,19
1141,7953,21,10,2023-03-05T15:03:47.328000+00:00,18
1141,7953,63,10,2023-03-05T15:03:47.609000+00:00,19
1141,7953,63,21,2023-03-05T15:03:47.609000+00:00,18
1141,7953,63,81,2023-03-05T15:03:47.609000+00:00,17
1141,7953,63,20,2023-03-05T15:03:47.609000+00:00,16
1141,7953,63,2,2023-03-05T15:03:47.609000+00:00,15
1141,7953,63,22,2023-03-05T15:03:47.609000+00:00,14
1141,7953,63,24,2023-03-05T15:03:47.609000+00:00,13
1141,7953,63,23,2023-03-05T15:03:47.609000+00:00,12
1141,7953,63,77,2023-03-05T15:03:47.609000+00:00,11
1141,7953,63,27,2023-03-05T15:03:47.609000+00:00,10
1141,7953,63,4,2023-03-05T15:03:47.609000+00:00,9
1141,7953,63,31,2023-03-05T15:03:47.609000+00:00,8
1141,7953,63,18,2023-03-05T15:03:47.609000+00:00,7
